DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,COC(=O)C(C)(C)OC,O
0,for_solvent_tsne,CC(C#N)CCC#N,O
0,for_solvent_tsne,CC=CCOCCO,O
0,for_solvent_tsne,OCCN(CCO)CCO,O
0,for_solvent_tsne,CCCCCCCN,O
0,for_solvent_tsne,C=COC(=O)CC,O
0,for_solvent_tsne,C=Cc1ccc(C(=C)C)cc1,O
0,for_solvent_tsne,CC(C)CC(=O)O,O
0,for_solvent_tsne,CN(C)c1ccccc1,O
0,for_solvent_tsne,C=CCCCCCCCCCCCCCCC,O
0,for_solvent_tsne,CC(C)C,O
0,for_solvent_tsne,C=Cc1cccc(C)c1,O
0,for_solvent_tsne,FC(F)(F)c1ccc(Cl)cc1Cl,O
0,for_solvent_tsne,CCCOCC(C)O,O
0,for_solvent_tsne,C[C@@H]1CCC[C@H]1C,O
0,for_solvent_tsne,CCCCI,O
0,for_solvent_tsne,FC(F)OC(F)(F)F,O
0,for_solvent_tsne,C=C=CCCC,O
0,for_solvent_tsne,CCC(C)(C)[NH3+],O
0,for_solvent_tsne,C/C=C/c1ccc(OC)cc1,O
0,for_solvent_tsne,C=CCCC,O
0,for_solvent_tsne,CCSCCO,O
0,for_solvent_tsne,C1CCCC1,O
0,for_solvent_tsne,CC1=CC(=O)OC1=O,O
0,for_solvent_tsne,CCCCC(CC)COC(=O)c1ccccc1,O
0,for_solvent_tsne,CCCCCCCCCCC(C)C,O
0,for_solvent_tsne,CCCCCCCCCCCCCC,O
0,for_solvent_tsne,F/C(=C(/F)C(F)(F)F)C(F)(F)F,O
0,for_solvent_tsne,CC=C(C)C,O
0,for_solvent_tsne,CCCN,O
0,for_solvent_tsne,CCCCCC,O
0,for_solvent_tsne,C=CCNCC=C,O
0,for_solvent_tsne,C=CCC1=CCCCC1,O
0,for_solvent_tsne,CCCC(C)(C)C(=O)O,O
0,for_solvent_tsne,CCCCCCCCC(C)CC,O
0,for_solvent_tsne,C[C@H]1CCCC[C@H]1O,O
0,for_solvent_tsne,CC1CCCC1,O
0,for_solvent_tsne,CC(C)CC(=O)CC(C)C,O
0,for_solvent_tsne,Nc1ccccc1Cl,O
0,for_solvent_tsne,CCc1cc(C)cc(C)c1,O
0,for_solvent_tsne,CCCC(C)(C)CC,O
0,for_solvent_tsne,CCCCCCOC(C)=O,O
0,for_solvent_tsne,CCCCCCCCCCc1cccc2ccccc12,O
0,for_solvent_tsne,CC(Br)Br,O
0,for_solvent_tsne,CC/C=C/CC,O
0,for_solvent_tsne,CCCCCC(C)CO,O
0,for_solvent_tsne,COCOC,O
0,for_solvent_tsne,C=CCCCCCCCCCCCCCCCC,O
0,for_solvent_tsne,C/C=C\CCCCCCC,O
0,for_solvent_tsne,C1CN1,O
0,for_solvent_tsne,CC1=CC[C@H](C(C)C)C=C1,O
0,for_solvent_tsne,C=COCCCC,O
0,for_solvent_tsne,CC1=CC2CCC1C2,O
0,for_solvent_tsne,CCC(C)CCO,O
0,for_solvent_tsne,C#CCCCC,O
0,for_solvent_tsne,CCCC[N+](=O)[O-],O
0,for_solvent_tsne,C#CC=C,O
0,for_solvent_tsne,CC(C)CCl,O
0,for_solvent_tsne,FC(F)C(F)F,O
0,for_solvent_tsne,COCCl,O
0,for_solvent_tsne,CC(COC(C)(C)C)OCC(C)OC(C)(C)C,O
0,for_solvent_tsne,CCCOCC(C)OCC(C)O,O
0,for_solvent_tsne,CCCNCCC,O
0,for_solvent_tsne,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,O
0,for_solvent_tsne,Cc1c(N=C=O)cccc1N=C=O,O
0,for_solvent_tsne,O=C(Cl)c1ccccc1,O
0,for_solvent_tsne,CC(=O)OCC(C)C,O
0,for_solvent_tsne,CC1CCC(C(C)(C)OO)CC1,O
0,for_solvent_tsne,C1CCC(C2CCCCC2)CC1,O
0,for_solvent_tsne,CCCCCCC=O,O
0,for_solvent_tsne,FC(F)=C(F)OC(F)(F)C(F)(F)F,O
0,for_solvent_tsne,CC1CCC(O)CC1,O
0,for_solvent_tsne,C=C(C)C(C)CCC,O
0,for_solvent_tsne,CCC(Cl)CCl,O
0,for_solvent_tsne,Cc1cccc(N)c1,O
0,for_solvent_tsne,C1=CCC=CC1,O
0,for_solvent_tsne,FCC(F)(F)F,O
0,for_solvent_tsne,FCF,O
0,for_solvent_tsne,CCCN(CCC)CCC,O
0,for_solvent_tsne,C=C(C)c1ccccc1,O
0,for_solvent_tsne,CCCCCCCCCOC=O,O
0,for_solvent_tsne,CCOCC(C)OCC(C)OCC(C)O,O
0,for_solvent_tsne,CCCCC(C)CC(C)C,O
0,for_solvent_tsne,CCCCCCCC(C)=O,O
0,for_solvent_tsne,CCCCCCCCCOCCCCCCCCC,O
0,for_solvent_tsne,CCCl,O
0,for_solvent_tsne,CCCCOCCOCCOCCOCCO,O
0,for_solvent_tsne,CC(O)COC(C)COC(C)COC(C)COC(C)CO,O
0,for_solvent_tsne,CCCCCC(C)C,O
0,for_solvent_tsne,CCCCCCCOC(C)=O,O
0,for_solvent_tsne,COC(=O)Cl,O
0,for_solvent_tsne,CC1(C)CCCCC1,O
0,for_solvent_tsne,C=C(Cl)CCl,O
